LOCATION,SUBJECT,FREQUENCY,TIME,GDP_MLN_USD,GDP_USD_CAP,LTINT,debt_gdp
ISL,TOT,A,2018,20536.241,58225.804712,5.330833,NA
ISL,TOT,A,2019,21663.292,60075.684325,3.974167,NA
ISL,TOT,A,2020,20405.655,55967.237695,2.466667,NA
IRL,TOT,A,2006,188776.116,44211.664919,3.765,27.65337
IRL,TOT,A,2007,205566.767,46717.776723,4.305833,27.4662
IRL,TOT,A,2008,198655.442,44184.55577,4.525833,47.50945
IRL,TOT,A,2009,188520.754,41532.216851,5.225,67.66763
IRL,TOT,A,2010,197529.445,43320.055178,5.739167,83.52173
IRL,TOT,A,2011,205590.143,44903.001303,9.601666,111.5753
IRL,TOT,A,2012,212744.231,46274.528754,6.171667,129.4477
IRL,TOT,A,2013,221412.808,47924.393776,3.79,131.96190000000001
IRL,TOT,A,2014,238264.091,51212.507468,2.3675,121.336
IRL,TOT,A,2015,324635.968,69133.717666,1.1825,88.42574
IRL,TOT,A,2016,340945.9,71793.28924,0.7358333,84.91689
IRL,TOT,A,2017,378128.166,78739.398464,0.8016667,75.73866
IRL,TOT,A,2018,413286.508,85027.004221,0.9508333,74.37717
IRL,TOT,A,2019,441284.827,89561.463935,0.3333333,68.8168
IRL,TOT,A,2020,449139.766,90182.804579,-0.06083333,NA
ITA,TOT,A,2006,1884457.559,32252.424492,4.046142,114.6299
ITA,TOT,A,2007,1992732.867,33897.278447,4.487258,110.2318
ITA,TOT,A,2008,2089717.307,35274.312724,4.681067,112.5272
ITA,TOT,A,2009,2046377.425,34347.697478,4.311183,125.5098
ITA,TOT,A,2010,2085694.44,34860.578039,4.035708,124.3316
ITA,TOT,A,2011,2173169.961,36183.316026,5.422758,117.2033
ITA,TOT,A,2012,2172383.108,36002.908697,5.492675,135.375
ITA,TOT,A,2013,2187376.607,36067.707344,4.316425,143.1716
ITA,TOT,A,2014,2200256.409,36194.916674,2.8932,155.6326
ITA,TOT,A,2015,2240922.483,36899.396401,1.71395,156.8527
ITA,TOT,A,2016,2420672.141,39926.966169,1.486433,154.5501
ITA,TOT,A,2017,2517184.468,41581.131252,2.112925,151.9975
ITA,TOT,A,2018,2605604.586,43097.264517,2.6104,146.7885
ITA,TOT,A,2019,2678904.139,44397.556124,1.913225,154.5051
ITA,TOT,A,2020,2468700.397,41108.214758,1.1681,NA
JPN,TOT,A,2006,4230713.959,33094.337825,1.7405,175.968
JPN,TOT,A,2007,4416227.644,34507.170217,1.6655,177.4856
JPN,TOT,A,2008,4456434.365,34803.657814,1.467333,181.3452
JPN,TOT,A,2009,4250983.216,33201.987096,1.33375,202.528
JPN,TOT,A,2010,4480784.403,34994.372225,1.148333,207.2712
JPN,TOT,A,2011,4573186.792,35775.256332,1.102417,222.043
JPN,TOT,A,2012,4746699.388,37213.837398,0.8355833,230.1373
JPN,TOT,A,2013,4967051.575,39008.36056,0.6896667,232.9834
JPN,TOT,A,2014,4986566.209,39183.465681,0.5203333,238.1798
JPN,TOT,A,2015,5135040.993,40398.402903,0.35,237.0939
JPN,TOT,A,2016,5075243.84,39983.643655,-0.06625,235.7609
JPN,TOT,A,2017,5193982.177,40992.39323,0.05166667,234.0426
JPN,TOT,A,2018,5275711.568,41724.030341,0.065,238.7264
JPN,TOT,A,2019,5346540.495,42385.765777,-0.1104167,NA
KOR,TOT,A,2006,1301782.512,26875.232505,5.151667,NA
KOR,TOT,A,2007,1414277.971,29050.159627,5.350833,NA
KOR,TOT,A,2008,1468996.086,29945.899216,5.568333,NA
KOR,TOT,A,2009,1456054.669,29529.785604,5.165833,NA
KOR,TOT,A,2010,1573257.913,31748.35357,4.773334,NA
KOR,TOT,A,2011,1625275.456,32546.517725,4.2025,NA
KOR,TOT,A,2012,1684562.928,33557.030447,3.4475,NA
KOR,TOT,A,2013,1726902.753,34244.239492,3.278083,NA
KOR,TOT,A,2014,1792600.237,35324.260296,3.186333,NA
KOR,TOT,A,2015,1933588.947,37902.361018,2.30575,NA
KOR,TOT,A,2016,2026967.822,39575.302078,1.747417,NA
KOR,TOT,A,2017,2103651.26,40957.347064,2.282583,NA
KOR,TOT,A,2018,2192613.181,42486.739807,2.50275,NA
KOR,TOT,A,2019,2209423.793,42728.031736,1.70225,NA
LUX,TOT,A,2006,36831.649,77880.528105,3.303333,17.80694
LUX,TOT,A,2007,40300.663,83837.451183,NA,17.36002
LUX,TOT,A,2008,42362.964,86591.985457,NA,25.80629
LUX,TOT,A,2009,40978.43,82249.998512,NA,23.90317
LUX,TOT,A,2010,43438.662,85587.014645,2.950091,29.0025
LUX,TOT,A,2011,47690.506,91814.036613,2.921892,27.823
LUX,TOT,A,2012,48646.452,91526.720705,1.834661,29.70999
LUX,TOT,A,2013,51940.087,95246.113893,1.849622,30.22084
LUX,TOT,A,2014,56353.755,100933.604548,1.336248,30.55047
LUX,TOT,A,2015,59081.017,103760.127974,0.36428,30.47134
LUX,TOT,A,2016,64406.168,110260.934439,-0.177239,27.86612
LUX,TOT,A,2017,66973.383,112187.731906,0.5027078,29.65228
LUX,TOT,A,2018,70914.212,116480.803842,0.5640635,28.83572
LUX,TOT,A,2019,74996.716,120670.500099,-0.1200168,29.95823
LUX,TOT,A,2020,74224.746,117613.939943,-0.4101667,NA
MEX,TOT,A,2006,1485209.624,13720.688285,8.388333,30.74275
MEX,TOT,A,2007,1560053.895,14233.029479,7.793334,32.43561
MEX,TOT,A,2008,1653898.19,14885.902438,8.3125,34.31808
MEX,TOT,A,2009,1637276.794,14532.386514,7.96375,30.56396
MEX,TOT,A,2010,1741129.429,15257.673655,6.9,31.1473
MEX,TOT,A,2011,1911319.096,16546.641414,6.667778,37.14133
MEX,TOT,A,2012,2012767.781,17220.06914,5.598333,41.13026
MEX,TOT,A,2013,2064490.947,17461.798268,5.6775,47.10764
MEX,TOT,A,2014,2173227.412,18178.397421,6.014167,50.40139
MEX,TOT,A,2015,2230188.94,18454.801482,5.928333,54.74356
MEX,TOT,A,2016,2383253.082,19516.145022,6.19375,52.84832
MEX,TOT,A,2017,2460766.096,19947.197691,7.248333,53.22276
MEX,TOT,A,2018,2556350.973,20518.580821,7.93,55.7872
MEX,TOT,A,2019,2608649.816,20739.308737,7.668334,59.29549
NLD,TOT,A,2006,669518.848,40959.18563,3.78075,53.08889
NLD,TOT,A,2007,718924.413,43885.020938,4.288167,50.50019
NLD,TOT,A,2008,763407.575,46419.042594,4.22675,62.82158
NLD,TOT,A,2009,737085.619,44590.781562,3.686833,65.32532
NLD,TOT,A,2010,748993.689,45079.367407,2.990083,69.51268
NLD,TOT,A,2011,777880.907,46599.227659,2.98875,73.72866
NLD,TOT,A,2012,792041.828,47271.968226,1.9335,79.47871
NLD,TOT,A,2013,827475.788,49242.786711,1.958917,78.93584
NLD,TOT,A,2014,830318.43,49233.230349,1.454667,83.33254
NLD,TOT,A,2015,851884.697,50288.352815,0.6903333,79.6172
NLD,TOT,A,2016,890488.555,52289.404292,0.2910833,77.63338
NLD,TOT,A,2017,943739.619,55089.58143,0.5220833,70.86796
NLD,TOT,A,2018,997729.784,57899.824961,0.5766667,66.02966
NLD,TOT,A,2019,1031484.13,59468.672811,-0.07,62.45762
NLD,TOT,A,2020,1004759.711,57609.065456,-0.3766667,NA
NZL,TOT,A,2006,116100.638,27664.745638,5.780833,NA
NZL,TOT,A,2007,123992.448,29275.954051,6.265,NA
NZL,TOT,A,2008,127057.687,29748.931565,6.080833,NA
NZL,TOT,A,2009,132091.564,30591.621801,5.456666,NA
NZL,TOT,A,2010,135912.366,31152.554881,5.603333,NA
NZL,TOT,A,2011,143362.869,32638.103325,4.945,NA
NZL,TOT,A,2012,145417.047,32916.91304,3.685,NA
NZL,TOT,A,2013,160992.629,36111.576126,4.093333,NA
NZL,TOT,A,2014,168435.427,37206.031789,4.304167,NA
NZL,TOT,A,2015,172758.809,37464.231077,3.423333,NA
NZL,TOT,A,2016,188355.645,40049.253774,2.761667,NA
NZL,TOT,A,2017,203544.585,42523.834338,2.990833,NA
NZL,TOT,A,2018,215287.748,44275.115253,2.754167,NA
NZL,TOT,A,2019,223650.279,45300.846487,1.649167,NA
NOR,TOT,A,2006,252086.882,54084.291298,4.076667,58.26883
NOR,TOT,A,2007,263065.787,55864.469542,4.774167,56.08408
NOR,TOT,A,2008,294277.831,61719.343656,4.458333,54.77628
NOR,TOT,A,2009,267535.443,55401.83115,3.998333,48.8372
NOR,TOT,A,2010,283400.011,57966.866732,3.528333,49.23193
NOR,TOT,A,2011,307471.57,62077.845797,3.135,34.72052
NOR,TOT,A,2012,327987.716,65349.216157,2.101667,35.8749
NOR,TOT,A,2013,340137.933,66956.285962,2.5775,36.46191
NOR,TOT,A,2014,338506.045,65895.667611,2.515,34.71998
NOR,TOT,A,2015,313230.601,60352.716908,1.565,40.22136
NOR,TOT,A,2016,308522.085,58923.240139,1.331667,44.2576
NOR,TOT,A,2017,337993.785,64050.366694,1.6375,44.66471
NOR,TOT,A,2018,370296.235,69709.381608,1.879167,45.34084
NOR,TOT,A,2019,365502.326,68343.740792,1.494167,46.68689
NOR,TOT,A,2020,366402.006,68117.123175,0.8175,53.63881
POL,TOT,A,2006,577156.392,15135.749292,5.231667,54.96175
POL,TOT,A,2007,639756.006,16784.447639,5.484334,51.55544
POL,TOT,A,2008,697829.214,18308.038986,6.071667,53.87738
POL,TOT,A,2009,734574.626,19088.289016,6.120598,57.18409
POL,TOT,A,2010,802270.074,20828.986526,5.781667,61.68219
POL,TOT,A,2011,868896.689,22553.514215,5.955583,62.17559
POL,TOT,A,2012,903836.561,23455.560312,4.999283,65.55442
POL,TOT,A,2013,934552.984,24272.842559,4.033292,66.44769
POL,TOT,A,2014,968368.101,25162.875509,3.516211,71.43756
POL,TOT,A,2015,1020392.781,26534.723216,2.700557,70.20952
POL,TOT,A,2016,1075392.661,27985.340009,3.035689,73.00764
POL,TOT,A,2017,1141694.015,29714.590984,3.42,68.7151
POL,TOT,A,2018,1214376.603,31613.688164,3.198333,66.75915
POL,TOT,A,2019,1296588.742,33777.646597,2.3475,63.43235
POL,TOT,A,2020,1279340.775,33356.123878,1.499167,NA
PRT,TOT,A,2006,259371.294,24649.676772,3.914667,82.98192
PRT,TOT,A,2007,270973.95,25701.787963,4.424141,80.51186
PRT,TOT,A,2008,281542.549,26665.771577,4.519855,84.4994
PRT,TOT,A,2009,279829.997,26478.491799,4.210149,97.63227
PRT,TOT,A,2010,288463.417,27282.766346,5.396408,105.6683
PRT,TOT,A,2011,282620.91,26769.42769,10.23912,109.8804
PRT,TOT,A,2012,277991.759,26438.140472,10.54652,137.316
PRT,TOT,A,2013,292135.199,27936.006299,6.293129,141.066
PRT,TOT,A,2014,298951.673,28742.313125,3.75395,150.745
PRT,TOT,A,2015,307230.008,29660.845901,2.423333,148.4184
PRT,TOT,A,2016,326364.379,31607.610185,3.171667,144.3118
PRT,TOT,A,2017,340370.325,33044.70015,3.0525,143.1314
PRT,TOT,A,2018,359232.261,34931.85988,1.839167,137.2647
PRT,TOT,A,2019,379273.761,36871.738281,0.7575,135.9755
PRT,TOT,A,2020,352601.07,34199.578099,0.4166667,155.1111
SVK,TOT,A,2006,101490.226,18826.142072,4.411667,37.59237
SVK,TOT,A,2007,113923.832,21110.422832,4.490833,36.06627
SVK,TOT,A,2008,127626.827,23608.977522,4.723333,34.8899
SVK,TOT,A,2009,124412.901,22963.908847,4.706666,44.03915
SVK,TOT,A,2010,135914.51,25030.420998,3.871667,48.75501
SVK,TOT,A,2011,140804.819,26084.105497,4.415,51.44206
SVK,TOT,A,2012,145826.897,26973.791217,4.5525,60.77532
SVK,TOT,A,2013,151588.593,28004.527785,3.1875,65.17045
SVK,TOT,A,2014,157123.984,28997.375683,2.070833,67.82887
SVK,TOT,A,2015,162278.154,29927.681435,0.885,66.49396
